"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/olfat/Code/nerd-web/src/Components/Unitcard/Unitcard.jsx", "JavaScript React", 0, 47, 0, 0, 0, 0, 0, 1, 2, 50
"/Users/olfat/Code/nerd-web/src/Components/Usercard/Usercard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/olfat/Code/nerd-web/src/Components/Usercard/Usercard.jsx", "JavaScript React", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/olfat/Code/nerd-web/src/Contexts/ClassContext.js", "JavaScript", 290, 0, 0, 0, 0, 0, 0, 6, 20, 316
"/Users/olfat/Code/nerd-web/src/Contexts/ContentContext.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 1, 5, 92
"/Users/olfat/Code/nerd-web/src/Contexts/ErrorContext.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/olfat/Code/nerd-web/src/Contexts/LessonContext.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 3, 9, 152
"/Users/olfat/Code/nerd-web/src/Contexts/LoadContext.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/olfat/Code/nerd-web/src/Contexts/ModuleContext.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 4, 10, 169
"/Users/olfat/Code/nerd-web/src/Contexts/NavContext.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 2, 6, 52
"/Users/olfat/Code/nerd-web/src/Contexts/ProgressContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 71, 5, 76
"/Users/olfat/Code/nerd-web/src/Contexts/QuizContext.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 5, 13, 312
"/Users/olfat/Code/nerd-web/src/Contexts/UnitContext.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 3, 10, 150
